Rk,Player,Tm,s201617,s201718,s201819,s201920,s202021,s202122,Signed Using,Guaranteed
233,Buddy Hield,NOP,$3517200,$3675480,$3833760,$4861208,,,1st Round pick,$7192680
234,Brandon Rush,MIN,$3500000,,,,,,Cap Space,$3500000
235,Paul Pierce,LAC,$3500000,$3700000,,,,,Mini MLE,$7200000
236,Mike Miller,DEN,$3500000,$3500000,,,,,Cap Space,$3500000
237,Anthony Morrow,OKC,$3488000,,,,,,Cap Space,$3488000
238,Trey Burke,WAS,$3386598,,,,,,1st Round Pick,$3386598
239,Mike Scott,ATL,$3333334,,,,,,,
240,K.J. McDaniels,HOU,$3333333,$3333334,,,,,Mid-level exception,$6666667
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
241,Troy Daniels,MEM,$3332940,$3408520,$3258540,,,,Cap Space,$10000000
242,Julius Randle,LAL,$3267120,$4149242,,,,,1st Round Pick,$3267120
243,Emmanuel Mudiay,DEN,$3241800,$3381480,$4294480,,,,1st round pick,$3241800
244,C.J. McCollum,POR,$3219579,$23962573,$25759766,$27556959,$29354152,,1st Round Pick,$109853029
245,Jamal Murray,DEN,$3210840,$3355320,$3499800,$4444746,,,1st Round pick,$6566160
246,Michael Carter-Williams,MIL,$3183526,,,,,,1st Round Pick,$3183526
247,Steven Adams,OKC,$3140517,,,,,,1st Round Pick,$3140517
248,Kelly Olynyk,BOS,$3094014,,,,,,1st Round Pick,$3094014
249,Shabazz Muhammad,MIN,$3046299,,,,,,1st Round Pick,$3046299
250,Tibor Pleiss,UTA,$3000000,$3000000,,,,,Cap Space,$3000000
251,Omri Casspi,SAC,$3000000,,,,,,Room Exception,$3000000
252,Dante Cunningham,NOP,$3000000,$3000000,,,,,MLE,$3000000
253,Justin Hamilton,BRK,$3000000,$3000000,,,,,Cap Space,$6000000
254,Giannis Antetokounmpo,MIL,$2995421,,,,,,1st Round Pick,$2995421
255,Nik Stauskas,PHI,$2993040,$3807146,,,,,1st Round Pick,$2993040
256,Stanley Johnson,DET,$2969880,$3097800,$3940402,,,,1st round pick,$2969880
257,Marquese Chriss,PHO,$2941440,$3073800,$3206160,$4078236,,,1st Rd pick,$6015240
258,Dewayne Dedmon,SAS,$2898000,$3028410,,,,,Room exception,$2898000
259,Mindaugas Kuzminskas,NYK,$2898000,$3028410,,,,,Room Exception,$5926410
260,Dion Waiters,MIA,$2898000,$3028410,,,,,Room exception,$2898000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
261,James Ennis,MEM,$2898000,$3028410,,,,,Room exception,$5926410
262,Nene Hilario,HOU,$2898000,,,,,,Room exception,$2898000
263,Zaza Pachulia,GSW,$2898000,,,,,,Room Exception,$2898000
264,Seth Curry,DAL,$2898000,$3028410,,,,,Room exception,$5926410
265,Tomas Satoransky,WAS,$2870813,$3000000,$3129187,,,,Cap Space,$9000000
266,Noah Vonleh,POR,$2751360,$3505233,,,,,1st Round Pick,$2751360
267,Frank Kaminsky,CHO,$2730000,$2847600,$3627842,,,,1st round pick,$2730000
268,Dennis Schroder,ATL,$2708582,,,,,,1st Round Pick,$2708582
269,Jakob Poeltl,TOR,$2703960,$2825640,$2947320,$3754886,,,1st Round pick,$5529600
270,Aaron Brooks,IND,$2700000,,,,,,Cap Space,$2700000
271,Elfrid Payton,ORL,$2613600,$3332340,,,,,1st Round Pick,$2613600
272,Justise Winslow,MIA,$2593440,$2705040,$3448926,,,,1st round pick,$2593440
273,Thon Maker,MIL,$2568600,$2684160,$2799720,$3569643,,,1st Round pick,$5252760
274,Richard Jefferson,CLE,$2500000,$2500000,$2612500,,,,Cap Space,$5000000
275,Randy Foye,BRK,$2500000,,,,,,Cap Space,$2500000
276,Malcolm Delaney,ATL,$2500000,$2500000,,,,,Room Exception,$5000000
277,Doug McDermott,CHI,$2483040,$3294994,,,,,1st Round Pick,$2483040
278,Myles Turner,IND,$2463840,$2569920,$3410284,,,,1st round pick,$2463840
279,Shelvin Mack,UTA,$2433334,,,,,,,
280,Tony Snell,CHI,$2368327,,,,,,1st Round Pick,$2368327
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
281,Gorgui Dieng,MIN,$2348783,,,,,,1st Round Pick,$2348783
282,Trey Lyles,UTA,$2340600,$2441400,$3364249,,,,1st round pick,$2340600
283,Mason Plumlee,POR,$2328530,,,,,,1st Round Pick,$2328530
284,Dario Saric,PHI,$2318280,$2422560,$2526840,$3481986,,,1st Round pick,$4740840
285,Taurean Waller-Prince,ATL,$2318280,$2422560,$2526840,$3481986,,,1st Round pick,$4740840
286,Tim Hardaway,ATL,$2281605,,,,,,1st Round Pick,$2281605
287,Reggie Bullock,DET,$2255644,,,,,,1st Round Pick,$2255644
288,Joe Ingles,UTA,$2250000,,,,,,Cap Space,$2250000
289,Zach LaVine,MIN,$2240880,$3202217,,,,,1st Round Pick,$2240880
290,Devin Booker,PHO,$2223600,$2319360,$3314365,,,,1st round pick,$2223600
291,Luc Mbah a Moute,LAC,$2203000,$2302135,,,,,Bi-annual Exception,$2203000
292,Georgios Papagiannis,SAC,$2202240,$2301360,$2400480,$3430288,,,1st Round pick,$4503600
293,Mo Williams,CLE,$2200000,,,,,,Mini MLE,$2200000
294,Andre Roberson,OKC,$2183072,,,,,,1st Round Pick,$2183072
295,Larry Sanders,MIL,$2170000,$2170000,$2170000,$2170000,$2170000,,,$13020000
296,T.J. Warren,PHO,$2128920,$3152931,,,,,1st Round Pick,$2128920
297,Rudy Gobert,UTA,$2121288,,,,,,1st Round Pick,$2121288
298,Cameron Payne,OKC,$2112480,$2203440,$3263295,,,,1st round pick,$2112480
299,Archie Goodwin,PHO,$2094089,,,,,,1st Round Pick,$2094089
